path_id,from_space,to_space,path_type,movement_direction,min_passage_width_m,max_hops_from_entrance,privacy_level,bhk_applicability,facing_dependency,reason,nbc_reference,vastu_basis,violation_consequence,graph_edge_weight,is_critical_path
1,outside,main_gate,DIRECT_ENTRY,BIDIRECTIONAL,1.2,0,PUBLIC,"1BHK,2BHK,3BHK,4BHK",ANY,Main gate is the primary boundary between public road and private plot in Tamil Nadu residential layout,NBC 2016 Part 4 Sec 5,0,No plot entry point — residents and visitors have no defined access to the property,1,1
2,main_gate,verandah,DIRECT_ENTRY,BIDIRECTIONAL,1.2,0,PUBLIC,"1BHK,2BHK,3BHK,4BHK",ANY,Pathway from gate to verandah forms the arrival sequence core in every Tamil Nadu home from village to city,NBC 2016 Part 4 Sec 5,1,Broken entry sequence — visitor has no guided path from gate to house front,1,1
3,outside,verandah,DIRECT_ENTRY,BIDIRECTIONAL,1.2,0,PUBLIC,"1BHK,2BHK,3BHK,4BHK",ANY,On compact urban plots in Chennai and Coimbatore the verandah opens directly onto the street frontage,NBC 2016 Part 4 Sec 5,0,No transition space between public street and home interior causes privacy and security failure,0.95,1
4,verandah,living,DIRECT_ENTRY,BIDIRECTIONAL,1.2,1,PUBLIC,"1BHK,2BHK,3BHK,4BHK",ANY,Verandah to living room is the primary threshold crossing in Tamil Nadu homes often marked by archway or step,NBC 2016 Part 4 Sec 5,1,Living room becomes unreachable from entry — entire house circulation graph is broken,1,1
5,living,dining,DIRECT_ENTRY,BIDIRECTIONAL,1.2,1,PUBLIC,"1BHK,2BHK,3BHK,4BHK",ANY,Living and dining are typically one open space or connected by wide archway in Tamil Nadu residential practice,NBC 2016 Part 4 Sec 5,0,Dining isolated from living forces circuitous routes for daily meals and guest hospitality,0.9,1
6,living,master_bedroom,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PRIVATE,"2BHK,3BHK,4BHK",ANY,Master bedroom accessed from living room maintains privacy hierarchy with one-hop separation from entry,,1,Master bedroom unreachable or accessible only through another bedroom — privacy and circulation failure,0.95,1
7,master_bedroom,toilet_attached,DIRECT_ENTRY,BIDIRECTIONAL,0.75,3,PRIVATE,"2BHK,3BHK,4BHK",ANY,Attached toilet is exclusive to master bedroom occupants ensuring privacy per Tamil Nadu building norms,NBC 2016 Part 9 Sec 4,0,Master bedroom residents must use common toilet — defeats purpose of attached bath and reduces property value,0.85,1
8,living,kitchen,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SERVICE,"1BHK,2BHK,3BHK,4BHK",ANY,Kitchen must be reachable from living for daily use but positioned to contain cooking odors and noise,NBC 2016 Part 4 Sec 5,1,Kitchen becomes dead-end or accessible only through bedroom — fundamental circulation and vastu violation,0.9,1
9,living,bedroom_2,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PRIVATE,"2BHK,3BHK,4BHK",ANY,Second bedroom opens from living room or passage connecting to living in standard Tamil Nadu floor plans,,0,Bedroom 2 accessible only through master bedroom or kitchen — severe privacy and convenience failure,0.85,1
10,living,toilet_common,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Common toilet accessible from living area serves guests and non-master-bedroom residents in Tamil Nadu homes,NBC 2016 Part 9 Sec 4,0,Common toilet unreachable from living — guests have no sanitation access creating serious usability failure,0.8,1
11,kitchen,utility,DIRECT_ENTRY,BIDIRECTIONAL,0.75,3,SERVICE,"2BHK,3BHK,4BHK",ANY,Utility room directly behind kitchen for washing and service work is standard Tamil Nadu service zone layout,NBC 2016 Part 4 Sec 5,0,Utility room accessible only through bedroom or living — wet service activities intrude on private and public zones,0.75,1
12,living,pooja,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Pooja room ideally in northeast accessible from living room as per vastu shastra widely followed in Tamil Nadu,NBC 2016 Part 4 Sec 5,1,Pooja room tucked behind kitchen or toilet contradicts vastu and cultural significance of prayer space placement,0.7,0
13,living,staircase,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PUBLIC,"2BHK,3BHK,4BHK",ANY,Staircase accessed from living area provides vertical circulation to upper floors and terrace in multi-story homes,NBC 2016 Part 4 Sec 6,0,Staircase accessible only through bedroom or kitchen — family members must pass through private zones to change floors,0.8,1
14,dining,kitchen,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SERVICE,"1BHK,2BHK,3BHK,4BHK",ANY,Dining to kitchen direct access is essential for food service in Tamil Nadu homes where meals are served hot,NBC 2016 Part 4 Sec 5,1,Food must traverse living room or passage to reach dining table — impractical and violates kitchen-dining adjacency norm,0.85,0
15,living,passage,DIRECT_ENTRY,BIDIRECTIONAL,1.05,1,SEMI_PRIVATE,"2BHK,3BHK,4BHK",ANY,Central passage distributes circulation from living to bedrooms and toilets in larger Tamil Nadu homes,NBC 2016 Part 4 Sec 5,0,No passage means every bedroom door opens directly into living — reduces privacy and creates visual clutter,0.8,0
16,passage,bedroom_2,DIRECT_ENTRY,BIDIRECTIONAL,0.9,3,PRIVATE,"3BHK,4BHK",ANY,In 3BHK and 4BHK layouts bedrooms open off a central passage rather than directly from living room,,0,Bedroom accessible only through another bedroom creating nested privacy violation and fire egress concern,0.75,0
17,passage,bedroom_3,DIRECT_ENTRY,BIDIRECTIONAL,0.9,3,PRIVATE,"3BHK,4BHK",ANY,Third bedroom served by passage in larger homes typical of joint family layouts in Tamil Nadu cities,,0,Bedroom 3 becomes land-locked with no independent access — family member must cross another bedroom,0.75,0
18,passage,bedroom_4,DIRECT_ENTRY,BIDIRECTIONAL,0.9,3,PRIVATE,4BHK,ANY,Fourth bedroom in premium 4BHK homes accessed via passage ensuring each room has independent private access,,0,Bedroom 4 accessible only through bedroom 3 — cascading privacy failure unacceptable in modern housing,0.7,0
19,passage,toilet_common,DIRECT_ENTRY,BIDIRECTIONAL,0.75,3,SEMI_PRIVATE,"3BHK,4BHK",ANY,Common toilet opening off passage rather than living room is preferred in larger layouts for better privacy,,0,Common toilet visible from living when passage door is open — reduces visual privacy for toilet users,0.65,0
