config_id,plot_name,plot_width_m,plot_depth_m,plot_area_sqm,plot_area_cents,plot_area_sqft,facing,bhk_type,is_suitable,suitability_reason,net_buildable_area_sqm,net_buildable_width_m,net_buildable_depth_m,zone_public_pct,zone_private_pct,zone_service_pct,master_bedroom_target_w,master_bedroom_target_d,bedroom2_target_w,bedroom2_target_d,bedroom3_target_w,bedroom3_target_d,living_target_w,living_target_d,dining_target_w,dining_target_d,kitchen_target_w,kitchen_target_d,toilet_att_target_w,toilet_att_target_d,toilet_common_target_w,toilet_common_target_d,utility_target_w,utility_target_d,verandah_target_w,verandah_target_d,pooja_room_possible,staircase_possible,courtyard_possible,common_in_district,vastu_front_facing,layout_strategy,typical_use,road_width_typical_m,fsi_applicable,is_corner_plot,special_notes
1,3x6m Micro Plot,3,6,18,0.44,193.75,N,1BHK,1,Adequate area for compact 1BHK layout with all essential rooms and ventilation,10.56,2.4,4.4,35,40,25,2.7,3,,,,,2.7,3,,,1.8,2.4,1.2,1.8,,,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai","North entrance auspicious, master SW",Verandah full N width. Combined living-dining on N side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
2,3x6m Micro Plot,3,6,18,0.44,193.75,N,2BHK,0,Insufficient area for 2BHK; minimum 40sqm buildable footprint required per norms,10.56,2.4,4.4,30,45,25,2.7,3,2.4,3,,,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai","North entrance auspicious, master SW",Verandah full N width. Combined living-dining on N side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
3,3x6m Micro Plot,3,6,18,0.44,193.75,N,3BHK,0,Plot too small for 3BHK; need minimum 80sqm for three bedrooms plus services,10.56,2.4,4.4,25,50,25,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai","North entrance auspicious, master SW",Verandah full N width. Combined living-dining on N side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
4,3x6m Micro Plot,3,6,18,0.44,193.75,N,4BHK,0,4BHK requires minimum 130sqm plot; insufficient space for four bedrooms plus services,10.56,2.4,4.4,22,55,23,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai","North entrance auspicious, master SW",Verandah full N width. Combined living-dining on N side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
5,3x6m Micro Plot,3,6,18,0.44,193.75,S,1BHK,1,Adequate area for compact 1BHK layout with all essential rooms and ventilation,10.56,2.4,4.4,35,40,25,2.7,3,,,,,2.7,3,,,1.8,2.4,1.2,1.8,,,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai","South entry needs vastu remedies, master SW",Entry from S via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
6,3x6m Micro Plot,3,6,18,0.44,193.75,S,2BHK,0,Insufficient area for 2BHK; minimum 40sqm buildable footprint required per norms,10.56,2.4,4.4,30,45,25,2.7,3,2.4,3,,,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai","South entry needs vastu remedies, master SW",Entry from S via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
7,3x6m Micro Plot,3,6,18,0.44,193.75,S,3BHK,0,Plot too small for 3BHK; need minimum 80sqm for three bedrooms plus services,10.56,2.4,4.4,25,50,25,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai","South entry needs vastu remedies, master SW",Entry from S via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,1,Micro plot; single floor only recommended. Check local panchayat norms.
8,3x6m Micro Plot,3,6,18,0.44,193.75,S,4BHK,0,4BHK requires minimum 130sqm plot; insufficient space for four bedrooms plus services,10.56,2.4,4.4,22,55,23,2.7,3,2.4,3,2.7,3.3,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai","South entry needs vastu remedies, master SW",Entry from S via narrow verandah. Living front half. Single bedroom and kitchen rear half. Toilet tucked beside stairwell.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
9,3x6m Micro Plot,3,6,18,0.44,193.75,E,1BHK,1,Adequate area for compact 1BHK layout with all essential rooms and ventilation,10.56,2.4,4.4,35,40,25,2.7,3,,,,,2.7,3,,,1.8,2.4,1.2,1.8,,,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai",East facing most auspicious per vastu,Verandah full E width. Combined living-dining on E side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
10,3x6m Micro Plot,3,6,18,0.44,193.75,E,2BHK,0,Insufficient area for 2BHK; minimum 40sqm buildable footprint required per norms,10.56,2.4,4.4,30,45,25,2.7,3,2.4,3,,,2.7,3,2.4,2.7,1.8,2.4,1.2,1.8,1.2,1.5,,,2.4,1.2,0,0,0,"Chennai, Coimbatore, Madurai",East facing most auspicious per vastu,Verandah full E width. Combined living-dining on E side. Bedroom rear with attached toilet. Kitchen adjacent service wall.,URBAN_RESIDENTIAL,3.6,1.5,0,Micro plot; single floor only recommended. Check local panchayat norms.
