rule_id,room_a,room_b,relationship,reason_code,reason_text,bhk_applicability,priority,door_required,door_width_m,min_shared_wall_m,facing_dependency,vastu_compliance,nbc_section
1,master_bedroom,toilet_attached,MUST_SHARE_WALL,FUNCTIONAL,Attached toilet must share wall with master bedroom for direct access as per standard residential planning in Tamil Nadu.,"1BHK,2BHK,3BHK,4BHK",5,1,0.75,1.2,ANY,1,"Part 4, Cl 4.2"
2,kitchen,master_bedroom,MUST_NOT_BE_ADJACENT,VASTU,Kitchen fire element must not adjoin master bedroom per vastu shastra; cooking odours and heat compromise sleeping zone privacy.,"1BHK,2BHK,3BHK,4BHK",4,0,,,ANY,1,
3,kitchen,toilet_attached,MUST_NOT_BE_ADJACENT,PLUMBING,NBC 2016 mandates separation of kitchen and toilet plumbing stacks to prevent cross-contamination in residential buildings.,"1BHK,2BHK,3BHK,4BHK",5,0,,,ANY,1,"Part 4, Cl 5.3"
4,kitchen,toilet_common,MUST_NOT_BE_ADJACENT,SAFETY,Common toilet must not share wall with kitchen to maintain hygiene standards per NBC 2016 sanitation requirements for dwellings.,"1BHK,2BHK,3BHK,4BHK",5,0,,,ANY,1,"Part 4, Cl 5.3"
5,kitchen,dining,SHOULD_BE_ADJACENT,FUNCTIONAL,Kitchen-dining adjacency ensures efficient food service circulation and reduces passage area in compact Tamil Nadu residential layouts.,"1BHK,2BHK,3BHK,4BHK",4,1,0.9,1.8,ANY,1,
6,kitchen,utility,MUST_SHARE_WALL,PLUMBING,Shared plumbing wall between kitchen and utility reduces pipe runs and wet-zone consolidation per NBC 2016 plumbing guidelines.,"2BHK,3BHK,4BHK",4,1,0.75,1.5,ANY,0,"Part 9, Cl 3.1"
7,living,verandah,MUST_SHARE_WALL,CIRCULATION,Verandah must open from living room to provide transitional semi-outdoor space typical of Tamil Nadu residential architecture.,"1BHK,2BHK,3BHK,4BHK",5,1,1.2,2.4,E,1,
8,living,dining,SHOULD_BE_ADJACENT,FUNCTIONAL,Combined living-dining is standard in Tamil Nadu homes enabling open plan social interaction and efficient space utilisation.,"1BHK,2BHK,3BHK,4BHK",4,0,,2.4,ANY,1,
9,dining,toilet_common,MUST_NOT_BE_ADJACENT,VASTU,Vastu shastra prohibits toilet adjacent to dining area as it brings negative energy to the food consumption zone in homes.,"1BHK,2BHK,3BHK,4BHK",5,0,,,ANY,1,
10,pooja,toilet_attached,MUST_NOT_BE_ADJACENT,VASTU,Sacred pooja room must never share wall with any toilet per vastu shastra to maintain spiritual sanctity in Tamil Nadu homes.,"2BHK,3BHK,4BHK",5,0,,,ANY,1,
11,pooja,toilet_common,MUST_NOT_BE_ADJACENT,VASTU,Common toilet proximity to pooja room is strictly forbidden in vastu shastra; minimum buffer zone of one room required.,"2BHK,3BHK,4BHK",5,0,,,ANY,1,
12,bedroom_2,toilet_common,SHOULD_BE_ADJACENT,FUNCTIONAL,Second bedroom should have convenient access to common toilet for overnight use without traversing living areas in the home.,"2BHK,3BHK,4BHK",3,0,,,ANY,0,
13,verandah,kitchen,MUST_NOT_BE_ADJACENT,VASTU,Vastu shastra advises against kitchen opening to verandah as cooking fire exposure to external elements is inauspicious in homes.,"1BHK,2BHK,3BHK,4BHK",3,0,,,ANY,1,
14,staircase,living,SHOULD_BE_ADJACENT,CIRCULATION,Staircase accessed from living room ensures proper vertical circulation and avoids private zone disruption per NBC 2016 planning norms.,"2BHK,3BHK,4BHK",4,0,,1.2,ANY,0,"Part 4, Cl 4.6"
15,master_bedroom,kitchen,MUST_NOT_BE_ADJACENT,PRIVACY,Master bedroom must be insulated from kitchen noise and cooking odours to ensure restful sleeping environment per vastu guidelines.,"1BHK,2BHK,3BHK,4BHK",4,0,,,ANY,1,
16,pooja,kitchen,PREFERRED_ADJACENT,VASTU,Pooja room adjacent to kitchen allows daily ritual integration with cooking activities as traditionally practiced in Tamil Nadu households.,"2BHK,3BHK,4BHK",3,1,0.75,0.9,E,1,
17,living,passage,MUST_SHARE_WALL,CIRCULATION,Main passage must connect to living room to serve as primary circulation spine distributing access to all zones in the dwelling.,"2BHK,3BHK,4BHK",5,0,,1.2,ANY,0,"Part 4, Cl 4.4"
18,courtyard,living,SHOULD_BE_ADJACENT,VASTU,Central courtyard adjacent to living room enhances natural ventilation and light per traditional Tamil Nadu thinnai planning principles.,"3BHK,4BHK",3,0,,2.4,ANY,1,
19,master_bedroom,living,MUST_NOT_BE_ADJACENT,PRIVACY,Master bedroom should be separated from living room to ensure acoustic privacy from social activities and visitor interactions.,"2BHK,3BHK,4BHK",3,0,,,ANY,0,
20,bedroom_3,toilet_common,SHOULD_BE_ADJACENT,FUNCTIONAL,Third bedroom in 3BHK and 4BHK layouts should be near common toilet for convenient access without long corridor walks.,"3BHK,4BHK",3,0,,,ANY,0,
21,bedroom_4,toilet_attached,MUST_SHARE_WALL,FUNCTIONAL,Fourth bedroom in premium 4BHK units warrants attached toilet sharing wall for direct access and enhanced resident comfort.,4BHK,4,1,0.75,1.2,ANY,0,"Part 4, Cl 4.2"
22,staircase,verandah,PREFERRED_ADJACENT,CIRCULATION,Staircase near verandah facilitates external access for upper floors common in Tamil Nadu independent house planning layouts.,"3BHK,4BHK",2,0,,,ANY,0,
23,store,kitchen,SHOULD_BE_ADJACENT,FUNCTIONAL,Store room adjacent to kitchen enables efficient storage of provisions and cooking supplies typical in Tamil Nadu household planning.,"2BHK,3BHK,4BHK",3,1,0.75,0.9,ANY,0,
24,utility,toilet_common,PREFERRED_ADJACENT,PLUMBING,Utility and common toilet adjacency consolidates wet zone plumbing runs reducing construction cost per NBC 2016 service integration norms.,"2BHK,3BHK,4BHK",3,0,,0.9,ANY,0,"Part 9, Cl 3.1"
25,puja_room,toilet_attached,FORBIDDEN_ADJACENT,VASTU,Puja room must never be adjacent to attached toilet as per vastu shastra principles governing sacred space purity in residences.,"3BHK,4BHK",5,0,,,ANY,1,
26,puja_room,toilet_common,FORBIDDEN_ADJACENT,VASTU,Vastu strictly forbids common toilet wall sharing with puja room to preserve ritual purity in Tamil Nadu residential buildings.,"3BHK,4BHK",5,0,,,ANY,1,
27,courtyard,pooja,PREFERRED_ADJACENT,VASTU,Courtyard adjacent to pooja room allows natural light and ventilation for prayer space as per traditional Tamil Nadu agraharam planning.,"3BHK,4BHK",3,0,,1.2,E,1,
28,master_bedroom,passage,SHOULD_BE_ADJACENT,CIRCULATION,Master bedroom accessible via passage ensures privacy from public zones while maintaining efficient internal circulation in the dwelling.,"2BHK,3BHK,4BHK",3,1,0.9,0.9,ANY,0,
29,kitchen,courtyard,PREFERRED_ADJACENT,FUNCTIONAL,Kitchen opening to courtyard aids smoke ventilation and natural light ingress following traditional Tamil Nadu mutram design principles.,"3BHK,4BHK",2,1,0.9,1.5,ANY,1,
30,living,staircase,MUST_SHARE_WALL,CIRCULATION,Staircase sharing wall with living ensures visibility and controlled access to upper levels per NBC 2016 egress planning requirements.,"3BHK,4BHK",4,0,,1.5,ANY,0,"Part 4, Cl 4.6"
31,bedroom_2,bedroom_3,SHOULD_BE_ADJACENT,FUNCTIONAL,Clustering bedrooms together in 3BHK layouts allows shared toilet access and creates distinct private zone in residential planning.,"3BHK,4BHK",2,0,,,ANY,0,
32,verandah,courtyard,PREFERRED_ADJACENT,CIRCULATION,Verandah connecting to courtyard creates seamless semi-outdoor living experience characteristic of traditional Tamil Nadu residential architecture.,"3BHK,4BHK",2,0,,1.8,E,1,
33,dining,living,MUST_SHARE_WALL,FUNCTIONAL,Shared wall between dining and living enables open plan layout maximising usable area in compact urban Tamil Nadu apartments.,"1BHK,2BHK,3BHK,4BHK",4,0,,2.4,ANY,1,
34,toilet_common,passage,MUST_SHARE_WALL,CIRCULATION,Common toilet must open from passage for shared access without entering private rooms per NBC 2016 residential planning standards.,"1BHK,2BHK,3BHK,4BHK",5,1,0.75,0.9,ANY,0,"Part 4, Cl 5.1"
35,pooja,living,PREFERRED_ADJACENT,VASTU,Pooja room off living area ensures family gathering space for prayers and visibility of deity from main hall per vastu norms.,"2BHK,3BHK,4BHK",3,1,0.75,0.9,E,1,
36,master_bedroom,bedroom_2,MUST_NOT_BE_ADJACENT,PRIVACY,Master and second bedrooms should be separated to provide acoustic and visual privacy between primary and secondary sleeping zones.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
37,staircase,master_bedroom,MUST_NOT_BE_ADJACENT,PRIVACY,Staircase noise and foot traffic must not disturb master bedroom; buffer zone required per acoustic privacy planning guidelines.,"2BHK,3BHK,4BHK",3,0,,,ANY,0,
38,kitchen,store,MUST_SHARE_WALL,FUNCTIONAL,Store room sharing wall with kitchen provides direct pantry access essential for daily cooking operations in Tamil Nadu households.,"3BHK,4BHK",3,1,0.75,0.9,ANY,0,
39,verandah,staircase,SHOULD_BE_ADJACENT,CIRCULATION,Verandah-staircase proximity enables external upper floor access common in Tamil Nadu independent house and duplex configurations.,"3BHK,4BHK",3,0,,,ANY,0,
40,bedroom_3,bedroom_4,PREFERRED_ADJACENT,FUNCTIONAL,Third and fourth bedrooms clustered together in 4BHK creates children or guest wing with shared amenity access.,4BHK,2,0,,,ANY,0,
41,courtyard,dining,PREFERRED_ADJACENT,VASTU,Dining area adjacent to courtyard benefits from natural ventilation and light per traditional Tamil Nadu residential courtyard planning.,"3BHK,4BHK",2,0,,1.5,ANY,1,
42,master_bedroom,store,PREFERRED_ADJACENT,FUNCTIONAL,Store adjacent to master bedroom serves as walk-in wardrobe or personal storage in premium Tamil Nadu 4BHK residential configurations.,4BHK,1,1,0.75,0.9,ANY,0,
