zone_id,zone_name,rooms_in_zone,zone_description,bhk_applicability,facing_dependency,must_be_accessible_from,must_not_be_accessible_from,max_depth_from_entry,min_zone_width_m,recommended_zone_fraction,vastu_zone_name,cross_ventilation_required,natural_light_required,noise_sensitivity,privacy_penetration_rule,drawing_color_hint,typical_tn_arrangement
1,PUBLIC_ZONE,"verandah,living,dining",Entry and social zone directly visible from main door serving guests and family gathering in Tamil Nadu homes,1BHK,N,ENTRY_SEQUENCE,"PRIVATE_ZONE,SERVICE_ZONE",1,3,0.35,Uttara,1,1,LOW,Visitor from verandah can see into bedroom or kitchen — public zone boundary is breached,#E8F5E9,North-facing TN homes place verandah full width along road with living behind and dining to one side forming L-shape public zone
2,PUBLIC_ZONE,"verandah,living,dining",Social reception area facing south road with deeper verandah overhang to shield afternoon sun in hot months,2BHK,S,ENTRY_SEQUENCE,"PRIVATE_ZONE,SERVICE_ZONE",1,3,0.32,Dakshina,1,1,LOW,Guest at verandah sees directly into bedroom through poorly placed door — zone privacy completely compromised,#E8F5E9,South-facing 2BHK has deeper verandah 1.8m minimum with living set back from sun and dining adjacent near kitchen side
3,PUBLIC_ZONE,"verandah,living,dining",Morning-sun reception zone with verandah receiving east light and living positioned for day-long natural illumination,2BHK,E,ENTRY_SEQUENCE,"PRIVATE_ZONE,SERVICE_ZONE",1,3,0.32,Purva,1,1,LOW,East light enters bedroom instead of living — public zone loses its primary daylight advantage on this facing,#E8F5E9,East-facing TN homes maximize morning light in verandah and living with dining alongside creating bright public zone
4,PUBLIC_ZONE,"verandah,living,dining",Protected entry zone with verandah shielded from harsh western sun by overhang or jali screen in Tamil Nadu practice,3BHK,W,ENTRY_SEQUENCE,"PRIVATE_ZONE,SERVICE_ZONE",1,3.6,0.3,Paschima,1,1,LOW,Unshielded west verandah makes public zone uncomfortably hot — guests and family avoid using it in afternoons,#E8F5E9,West-facing 3BHK verandah has deep overhang or perforated screen with living behind protected from direct western sun
5,PUBLIC_ZONE,"verandah,living,dining",Grand reception zone in 4BHK with spacious verandah wide living and formal dining for large family gatherings,4BHK,N,ENTRY_SEQUENCE,"PRIVATE_ZONE,SERVICE_ZONE",1,4,0.28,Uttara,1,1,LOW,Bedroom corridor visible from living in large home — public zone exposes private wing to all visitors,#E8F5E9,Premium 4BHK north-facing homes have wide verandah with double main door opening to spacious living with formal dining room separate
6,PUBLIC_ZONE,"verandah,living,dining,courtyard",Extended public zone including internal courtyard for light and ventilation in traditional Tamil Nadu house layouts,"3BHK,4BHK",ANY,ENTRY_SEQUENCE,PRIVATE_ZONE,1,3.6,0.33,Brahmasthana,1,1,LOW,Courtyard visible from bedroom creates privacy breach — public daylight zone extends into private sleeping area,#E8F5E9,Traditional TN homes center courtyard within public zone connecting verandah living and dining around the open-to-sky mutram space
7,SEMI_PRIVATE_ZONE,"pooja,staircase,passage,store",Buffer zone between public and private areas containing sacred transitional and storage spaces in TN residential plans,1BHK,ANY,PUBLIC_ZONE,SERVICE_ZONE,2,1.5,0.1,Ishan,1,1,MEDIUM,Pooja room accessible from kitchen or toilet — sacred space contaminated by service zone adjacency,#FFF3E0,1BHK minimal semi-private zone is usually a small pooja niche near living room with no separate passage needed
8,SEMI_PRIVATE_ZONE,"pooja,staircase,passage,store",Transitional spaces forming threshold between guest-accessible living and family-only bedroom wing in the house,2BHK,ANY,PUBLIC_ZONE,SERVICE_ZONE,2,2,0.12,Ishan,1,1,MEDIUM,Passage connects kitchen directly to bedroom skipping transition — service traffic intrudes on private zone,#FFF3E0,2BHK uses short passage from living to bedrooms with pooja niche at passage entrance as sacred transition marker
9,SEMI_PRIVATE_ZONE,"pooja,staircase,passage,store",Well-defined corridor zone with pooja room and staircase acting as privacy gradient between public and private wings,3BHK,N,PUBLIC_ZONE,SERVICE_ZONE,2,2.4,0.12,Ishan,1,1,MEDIUM,Staircase opens directly into bedroom — upper floor private zone accessible without any transitional buffer,#FFF3E0,3BHK north-facing layout places passage along central spine with pooja at northeast corner and staircase near passage end
10,SEMI_PRIVATE_ZONE,"pooja,staircase,passage,store",Generous transitional wing with dedicated pooja room wide passage and storage marking clear zone boundaries,4BHK,ANY,PUBLIC_ZONE,SERVICE_ZONE,2,2.7,0.1,Ishan,1,1,MEDIUM,No defined transition space — guest walks from living directly into bedroom corridor without privacy gradient,#FFF3E0,Premium 4BHK dedicates passage wing with pooja room at start of bedroom corridor and staircase at end for vertical circulation
11,SEMI_PRIVATE_ZONE,"pooja,passage",Compact transitional elements in small plot layout where dedicated corridor may be minimized to save floor area,"1BHK,2BHK",S,PUBLIC_ZONE,SERVICE_ZONE,2,1.5,0.08,Ishan,1,1,MEDIUM,No transition between zones forces bedroom door to face living directly — every door opening reveals private life,#FFF3E0,South-facing compact TN homes use minimal passage with pooja alcove as architectural cue marking entry to private wing
12,SEMI_PRIVATE_ZONE,"pooja,staircase,passage,store",Eastern-facing transitional zone benefits from morning light in pooja area enhancing prayer experience per vastu,"3BHK,4BHK",E,PUBLIC_ZONE,SERVICE_ZONE,2,2.4,0.11,Ishan,1,1,MEDIUM,Pooja room on west side misses morning light — spiritual atmosphere diminished contradicting east-facing advantage,#FFF3E0,East-facing TN homes position pooja at northeast of passage receiving first morning sunlight ideal for dawn prayers and rituals
13,PRIVATE_ZONE,"master_bedroom,bedroom_2,toilet_attached",Family sleeping quarters with attached bathroom accessible only through living room or passage for complete privacy,1BHK,ANY,"SEMI_PRIVATE_ZONE,PUBLIC_ZONE","SERVICE_ZONE,ENTRY_SEQUENCE",2,3,0.45,Nairuthya,1,1,HIGH,Bedroom visible or accessible from verandah or kitchen — sleeping area loses all privacy from visitors and staff,#E3F2FD,1BHK has single bedroom with common toilet positioned away from kitchen behind living room for basic privacy
14,PRIVATE_ZONE,"master_bedroom,bedroom_2,toilet_attached,toilet_common",Two-bedroom private wing with master attached bath and shared common toilet forming self-contained sleeping quarter,2BHK,N,"SEMI_PRIVATE_ZONE,PUBLIC_ZONE","SERVICE_ZONE,ENTRY_SEQUENCE",2,3.6,0.45,Nairuthya,1,1,HIGH,Both bedrooms accessible from kitchen passage — cooking noise and staff movement disturb sleeping occupants,#E3F2FD,North-facing 2BHK places bedrooms on south and west sides per vastu with toilet between them away from northeast
15,PRIVATE_ZONE,"master_bedroom,bedroom_2,toilet_attached,toilet_common",Two-bedroom cluster with southwest master per vastu and attached toilet for privacy in south-facing TN home layout,2BHK,S,"SEMI_PRIVATE_ZONE,PUBLIC_ZONE","SERVICE_ZONE,ENTRY_SEQUENCE",2,3.6,0.45,Nairuthya,1,1,HIGH,Bedrooms on north side of south-plot expose private zone to road noise and visitor sightline from entry approach,#E3F2FD,South-facing 2BHK positions bedrooms deeper into plot away from road with master in southwest for stability per vastu
16,PRIVATE_ZONE,"master_bedroom,bedroom_2,bedroom_3,toilet_attached,toilet_common",Three-bedroom private wing with dedicated passage serving as bedroom corridor in standard 3BHK Tamil Nadu layouts,3BHK,ANY,SEMI_PRIVATE_ZONE,"SERVICE_ZONE,ENTRY_SEQUENCE",3,4,0.48,Nairuthya,1,1,HIGH,Third bedroom door on living wall creates three doors facing guests — private zone boundary is destroyed,#E3F2FD,3BHK TN layout clusters all bedrooms off central passage with master at passage end for maximum quiet and privacy
17,PRIVATE_ZONE,"master_bedroom,bedroom_2,bedroom_3,bedroom_4,toilet_attached,toilet_common",Four-bedroom private wing forming complete family quarter with individual toilet access in premium 4BHK houses,4BHK,ANY,SEMI_PRIVATE_ZONE,"SERVICE_ZONE,ENTRY_SEQUENCE",3,4.5,0.48,Nairuthya,1,1,HIGH,Four bedroom doors visible from any public space — entire private wing exposed to casual visitor observation,#E3F2FD,Premium 4BHK uses L-shaped or parallel passage serving all bedrooms with master suite at quietest wing end in TN practice
18,PRIVATE_ZONE,"master_bedroom,bedroom_2,toilet_attached",East-facing private zone positioned on west side of plot away from morning entry activity for sleeping tranquility,2BHK,E,"SEMI_PRIVATE_ZONE,PUBLIC_ZONE","SERVICE_ZONE,ENTRY_SEQUENCE",2,3.6,0.44,Nairuthya,1,1,HIGH,Bedrooms on east side receive morning light and entry noise — occupants woken by early visitor doorbell activity,#E3F2FD,East-facing 2BHK pushes bedrooms to west and south walls ensuring quiet sleeping away from active morning entry zone
19,PRIVATE_ZONE,"master_bedroom,bedroom_2,bedroom_3,toilet_attached,toilet_common",West-facing private zone with bedrooms shielded from afternoon sun by thicker walls or buffer spaces for comfort,3BHK,W,SEMI_PRIVATE_ZONE,"SERVICE_ZONE,ENTRY_SEQUENCE",3,4,0.46,Nairuthya,1,1,HIGH,Bedrooms with large west windows overheat in afternoon — private zone becomes uninhabitable during TN summer,#E3F2FD,West-facing 3BHK places bedrooms on east and south with corridor acting as thermal buffer against west wall heat gain
20,SERVICE_ZONE,"kitchen,utility,toilet_common",Cooking washing and sanitation cluster forming contained service pod away from living and sleeping zones in TN homes,1BHK,ANY,PUBLIC_ZONE,"PRIVATE_ZONE,ENTRY_SEQUENCE",2,2.4,0.25,Agni,1,1,LOW,Kitchen directly adjacent to bedroom — cooking odors smoke and service staff noise enter sleeping area,#FFF8E1,1BHK service zone is compact kitchen with adjacent common toilet positioned in southeast per vastu fire corner placement
21,SERVICE_ZONE,"kitchen,utility,toilet_common",Self-contained service wing with kitchen utility and common toilet linked by service passage in 2BHK TN layouts,2BHK,N,PUBLIC_ZONE,"PRIVATE_ZONE,ENTRY_SEQUENCE",2,2.7,0.25,Agni,1,1,LOW,Service activities visible from main entry — cooking and washing seen by visitors approaching the front door,#FFF8E1,North-facing 2BHK places kitchen in southeast with utility behind and common toilet accessible from living side passage
22,SERVICE_ZONE,"kitchen,utility,toilet_common",Kitchen cluster in southeast corner with dedicated service entrance allowing domestic help access without main door,3BHK,S,"PUBLIC_ZONE,SEMI_PRIVATE_ZONE","PRIVATE_ZONE,ENTRY_SEQUENCE",2,3,0.24,Agni,1,1,LOW,Service entrance opens near bedroom wing — delivery persons and maid access path crosses private zone boundary,#FFF8E1,South-facing 3BHK kitchen in southeast with service door on east side allowing maid entry without passing through living area
23,SERVICE_ZONE,"kitchen,utility,store,toilet_common",Extended service zone with store room for provisions and vessels forming complete back-of-house in larger TN homes,"3BHK,4BHK",ANY,"PUBLIC_ZONE,SEMI_PRIVATE_ZONE","PRIVATE_ZONE,ENTRY_SEQUENCE",3,3.3,0.26,Agni,1,1,LOW,Store room accessible from bedroom corridor — service zone extends into private wing violating zone separation,#FFF8E1,Larger TN homes cluster kitchen utility store and service toilet in southeast corner with internal service passage connecting them
24,SERVICE_ZONE,"kitchen,utility,toilet_common",East-facing service zone benefits from morning light in kitchen with utility on rear for service entrance access,"2BHK,3BHK",E,PUBLIC_ZONE,"PRIVATE_ZONE,ENTRY_SEQUENCE",2,2.7,0.24,Agni,1,1,LOW,Kitchen on west wall receives harsh afternoon sun creating excessive heat in already hot cooking environment,#FFF8E1,East-facing TN homes position kitchen in southeast receiving pleasant morning cooking light with utility behind on south wall
25,SERVICE_ZONE,"kitchen,utility,toilet_common",West-facing service zone kitchen positioned away from hot west wall with buffer utility between kitchen and sun,"3BHK,4BHK",W,PUBLIC_ZONE,"PRIVATE_ZONE,ENTRY_SEQUENCE",2,3,0.25,Agni,1,1,LOW,Kitchen on west wall without buffer — afternoon cooking in west-sun-heated kitchen is unbearable in TN climate,#FFF8E1,West-facing TN homes use utility room as thermal buffer between kitchen and west wall keeping cooking zone cooler in afternoon
26,SERVICE_ZONE,"kitchen,utility,store,toilet_common",Premium service pod in 4BHK with large kitchen walk-in store and separate service toilet for domestic staff use,4BHK,ANY,"PUBLIC_ZONE,SEMI_PRIVATE_ZONE","PRIVATE_ZONE,ENTRY_SEQUENCE",3,3.6,0.22,Agni,1,1,LOW,Domestic staff must use family toilet — no dedicated service sanitation creates hygiene and social boundary issue,#FFF8E1,4BHK TN homes feature large L-shaped kitchen with island utility room walk-in pantry and service toilet as complete pod
27,TRANSITIONAL_SPACE,"pooja,staircase,passage",Sacred and vertical circulation spaces serving as architectural thresholds between zones in Tamil Nadu house design,"1BHK,2BHK",ANY,"PUBLIC_ZONE,PRIVATE_ZONE",SERVICE_ZONE,2,1.5,0.08,Brahmasthana,0,1,MEDIUM,No transitional space means abrupt zone change — walking from living directly into bedroom without spatial cue,#F3E5F5,Small TN homes use pooja niche at passage start and staircase at passage end as bookend transitional elements
28,TRANSITIONAL_SPACE,"pooja,staircase,passage,courtyard",Expanded transitional system with courtyard as central breathing space between all zones in traditional TN architecture,"3BHK,4BHK",ANY,"PUBLIC_ZONE,PRIVATE_ZONE,SERVICE_ZONE",,2,2.4,0.1,Brahmasthana,1,1,MEDIUM,Courtyard enclosed or converted to room — house loses its breathing space and natural ventilation chimney effect,#F3E5F5,Traditional TN homes use courtyard as central transitional space with pooja alongside and staircase wrapping around its edge
29,TRANSITIONAL_SPACE,passage,Simple corridor serving as sole transitional element between living and bedroom wing in compact urban TN apartments,2BHK,ANY,PUBLIC_ZONE,SERVICE_ZONE,2,1.8,0.07,,0,0,MEDIUM,No corridor means bedroom opens directly into living — visual and acoustic privacy severely compromised,#F3E5F5,Compact 2BHK apartments in Chennai use minimal 0.9m passage connecting living to two bedrooms as basic zone separator
30,TRANSITIONAL_SPACE,"pooja,staircase,passage",North-facing transitional zone with pooja in northeast passage along north wall and staircase accessing upper floor,3BHK,N,"PUBLIC_ZONE,PRIVATE_ZONE",SERVICE_ZONE,2,2.1,0.09,Ishan,1,1,MEDIUM,Pooja room displaced from northeast loses vastu significance — transitional zone lacks its sacred anchor element,#F3E5F5,North-facing 3BHK places pooja at northeast end of passage with staircase at south end creating sacred-secular gradient
31,ENTRY_SEQUENCE,"main_gate,car_porch,verandah",Arrival sequence from plot boundary to house threshold forming the first impression zone for all Tamil Nadu homes,"1BHK,2BHK",ANY,,"PRIVATE_ZONE,SERVICE_ZONE",0,1.2,0.08,Dwar,0,1,LOW,No defined arrival sequence — visitor steps from road directly into living room without spatial preparation,#FFEBEE,Small TN homes have compressed entry of gate-step-verandah forming rapid transition from street to semi-public reception
32,ENTRY_SEQUENCE,"main_gate,car_porch,verandah",Extended arrival experience with pathway and car porch between gate and verandah on larger Tamil Nadu residential plots,"3BHK,4BHK",N,,"PRIVATE_ZONE,SERVICE_ZONE",0,1.5,0.1,Dwar,1,1,LOW,Long blank pathway with no visual focus — arrival feels institutional rather than welcoming residential approach,#FFEBEE,North-facing 3BHK and 4BHK have gate-pathway-car porch-verandah sequence along north boundary with garden on approach
33,ENTRY_SEQUENCE,"main_gate,car_porch,verandah",South-facing entry sequence needs sun protection elements along arrival path to make comfortable approach for visitors,"3BHK,4BHK",S,,"PRIVATE_ZONE,SERVICE_ZONE",0,1.5,0.1,Dwar,1,1,LOW,Unshaded south approach makes entry zone uncomfortably hot — visitors arrive sweating and first impression suffers,#FFEBEE,South-facing TN homes add pergola or tree canopy along approach path with deep verandah overhang sheltering entry zone
34,ENTRY_SEQUENCE,"main_gate,verandah",Compact entry sequence for narrow plots where car porch may be omitted and gate leads directly to verandah steps,1BHK,ANY,,"PRIVATE_ZONE,SERVICE_ZONE",0,1,0.06,Dwar,0,1,LOW,No verandah on compact plot — visitor steps from gate directly to main door with zero spatial transition,#FFEBEE,Compact 1BHK on narrow TN plots has gate opening directly to small verandah with just enough space for shoe removal
35,EMERGENCY_ZONE,"staircase,passage,kitchen",Fire egress routes ensuring all rooms have two-hop maximum path to external exit per NBC residential fire safety codes,"1BHK,2BHK",ANY,"PUBLIC_ZONE,PRIVATE_ZONE,SERVICE_ZONE",,2,0.9,0,,0,0,LOW,Bedroom has single exit through living — if living is fire source occupant is trapped with no alternate escape,#FFCDD2,Small TN homes rely on kitchen service door as secondary exit with bedroom window as emergency egress per NBC compliance
36,EMERGENCY_ZONE,"staircase,passage,kitchen,utility",Multi-floor emergency circulation ensuring upper floor occupants can reach ground exit within NBC prescribed travel distance,"3BHK,4BHK",ANY,"PUBLIC_ZONE,PRIVATE_ZONE,SERVICE_ZONE",,3,1.05,0,,0,0,LOW,Staircase terminates inside living room — fire in living blocks both normal and emergency exit from upper floors,#FFCDD2,Multi-story TN homes need staircase terminating at external ground door with kitchen service exit as alternate emergency path
37,EMERGENCY_ZONE,"staircase,passage",Upper floor emergency zone with staircase as primary vertical egress and window emergency exits from all bedrooms,"2BHK,3BHK,4BHK",ANY,PRIVATE_ZONE,,2,0.9,0,,0,0,LOW,No window in upper bedroom — occupant trapped on burning floor with single staircase exit blocked by fire,#FFCDD2,Upper floors in TN homes require every bedroom to have window on external wall for fire rescue access per NBC Part 4 fire code
38,PUBLIC_ZONE,"verandah,living,dining",Standard 1BHK public zone combining verandah living and compact dining into unified social area for space efficiency,1BHK,S,ENTRY_SEQUENCE,"PRIVATE_ZONE,SERVICE_ZONE",1,2.7,0.38,Dakshina,1,1,LOW,Public zone too small in 1BHK makes home feel cramped — visitors crowd tiny living area during social occasions,#E8F5E9,South-facing 1BHK maximizes public zone width along road side with living-dining combined and verandah as sun buffer
39,PRIVATE_ZONE,"master_bedroom,bedroom_2,bedroom_3,toilet_attached,toilet_common",North-facing 3BHK private zone with bedrooms on south and west maintaining distance from north road noise and entry,3BHK,N,SEMI_PRIVATE_ZONE,"SERVICE_ZONE,ENTRY_SEQUENCE",3,4,0.47,Nairuthya,1,1,HIGH,Bedroom on north road side exposed to traffic noise and headlights — sleeping quality severely compromised,#E3F2FD,North-facing 3BHK clusters bedrooms on south wall with master in southwest and common toilet between bedrooms accessible via passage
40,SERVICE_ZONE,"kitchen,utility,toilet_common",North-facing 2BHK service zone in southeast with kitchen window facing east for morning cooking light advantage,2BHK,E,PUBLIC_ZONE,"PRIVATE_ZONE,ENTRY_SEQUENCE",2,2.7,0.24,Agni,1,1,LOW,Kitchen without east window loses morning light — darker cooking environment needs artificial lighting all day,#FFF8E1,East-facing 2BHK positions kitchen window toward east for maximum morning light with utility on south side behind kitchen
