material_id,material_name,material_category,subcategory,application,unit,cost_per_unit_inr_low,cost_per_unit_inr_high,cost_per_unit_inr_avg,districts_available,districts_expensive,thermal_performance,climate_zone_suitability,sustainability_rating,baker_recommended,local_availability,carbon_footprint,skill_level_required,typical_thickness_mm,compressive_strength_mpa,thermal_conductivity_w_mk,water_resistance,maintenance_frequency,lifespan_years,nbc_approved,is_load_bearing,wall_drawing_color_hex,hatch_pattern,notes
1,Ariyalur Red Brick (Standard),MASONRY,Fired Clay Brick,Exterior and interior load-bearing wall,per_piece,7,10,8.5,"Ariyalur,Perambalur,Tiruchirappalli","Chennai,Kanniyakumari,Nilgiris",GOOD,"Hot_Humid,Hot_Dry,Warm_Humid",3,1,LOCALLY_SOURCED,MEDIUM,SEMI_SKILLED,230,7.5,0.81,AVERAGE,10_YEARS,80,1,1,#D4B483,////,Traditional TN brick; soak for 24hrs before use. Best for hot humid coastal climate. Rat-trap bond reduces cost 25%.
2,Ariyalur Red Brick (Premium Grade),MASONRY,Fired Clay Brick,Exterior and interior load-bearing wall,per_piece,9,13,11,"Ariyalur,Perambalur,Tiruchirappalli","Chennai,Nilgiris",GOOD,"Hot_Humid,Hot_Dry,Warm_Humid",3,1,LOCALLY_SOURCED,MEDIUM,SEMI_SKILLED,230,7.5,0.81,AVERAGE,10_YEARS,80,1,1,#D4B483,////,Traditional TN brick; soak for 24hrs before use. Best for hot humid coastal climate. Rat-trap bond reduces cost 25%.
3,Ariyalur Table Moulded Brick,MASONRY,Fired Clay Brick,Exterior and interior load-bearing wall,per_piece,8,11,9.5,"Ariyalur,Perambalur","Chennai,Coimbatore,Madurai",GOOD,"Hot_Humid,Hot_Dry,Warm_Humid",3,1,LOCALLY_SOURCED,MEDIUM,SEMI_SKILLED,230,7.5,0.81,AVERAGE,10_YEARS,80,1,1,#D4B483,////,Traditional TN brick; soak for 24hrs before use. Best for hot humid coastal climate. Rat-trap bond reduces cost 25%.
4,Tiruchirappalli Wire-Cut Brick,MASONRY,Fired Clay Brick,Exterior and interior load-bearing wall,per_piece,9,14,11.5,"Tiruchirappalli,Ariyalur,Pudukkottai","Chennai,Nilgiris",GOOD,"Hot_Humid,Hot_Dry,Warm_Humid",3,1,LOCALLY_SOURCED,MEDIUM,SEMI_SKILLED,230,7.5,0.81,AVERAGE,10_YEARS,80,1,1,#D4B483,////,Traditional TN brick; soak for 24hrs before use. Best for hot humid coastal climate. Rat-trap bond reduces cost 25%.
5,Villupuram Red Country Brick,MASONRY,Fired Clay Brick,Exterior and interior load-bearing wall,per_piece,6.5,9.5,8,"Viluppuram,Cuddalore,Kallakurichi","Nilgiris,Thoothukudi",GOOD,"Hot_Humid,Hot_Dry,Warm_Humid",3,1,LOCALLY_SOURCED,MEDIUM,SEMI_SKILLED,230,7.5,0.81,AVERAGE,10_YEARS,80,1,1,#D4B483,////,Traditional TN brick; soak for 24hrs before use. Best for hot humid coastal climate. Rat-trap bond reduces cost 25%.
6,Kanchipuram Hand-Moulded Brick,MASONRY,Fired Clay Brick,Exterior and interior load-bearing wall,per_piece,7,10,8.5,"Kanchipuram,Chengalpattu,Tiruvallur","Nilgiris,Tirunelveli",GOOD,"Hot_Humid,Hot_Dry,Warm_Humid",3,1,LOCALLY_SOURCED,MEDIUM,SEMI_SKILLED,230,7.5,0.81,AVERAGE,10_YEARS,80,1,1,#D4B483,////,Traditional TN brick; soak for 24hrs before use. Best for hot humid coastal climate. Rat-trap bond reduces cost 25%.
7,Thanjavur Delta Brick,MASONRY,Fired Clay Brick,Exterior and interior load-bearing wall,per_piece,6,9,7.5,"Thanjavur,Nagapattinam,Mayiladuthurai","Nilgiris,Coimbatore",GOOD,"Hot_Humid,Hot_Dry,Warm_Humid",3,1,LOCALLY_SOURCED,MEDIUM,SEMI_SKILLED,230,7.5,0.81,AVERAGE,10_YEARS,80,1,1,#D4B483,////,Traditional TN brick; soak for 24hrs before use. Best for hot humid coastal climate. Rat-trap bond reduces cost 25%.
8,Sivaganga Red Brick,MASONRY,Fired Clay Brick,Exterior and interior load-bearing wall,per_piece,6.5,9,7.75,"Sivaganga,Ramanathapuram,Pudukkottai","Chennai,Nilgiris",GOOD,"Hot_Humid,Hot_Dry,Warm_Humid",3,1,LOCALLY_SOURCED,MEDIUM,SEMI_SKILLED,230,7.5,0.81,AVERAGE,10_YEARS,80,1,1,#D4B483,////,Traditional TN brick; soak for 24hrs before use. Best for hot humid coastal climate. Rat-trap bond reduces cost 25%.
9,Madurai Kiln Brick (First Class),MASONRY,Fired Clay Brick,Exterior and interior load-bearing wall,per_piece,8,12,10,"Madurai,Dindigul,Theni","Nilgiris,Chennai",GOOD,"Hot_Humid,Hot_Dry,Warm_Humid",3,1,LOCALLY_SOURCED,MEDIUM,SEMI_SKILLED,230,7.5,0.81,AVERAGE,10_YEARS,80,1,1,#D4B483,////,Traditional TN brick; soak for 24hrs before use. Best for hot humid coastal climate. Rat-trap bond reduces cost 25%.
10,Salem Red Brick,MASONRY,Fired Clay Brick,Exterior and interior load-bearing wall,per_piece,7,10.5,8.75,"Salem,Namakkal,Erode","Nilgiris,Chennai",GOOD,"Hot_Humid,Hot_Dry,Warm_Humid",3,1,LOCALLY_SOURCED,MEDIUM,SEMI_SKILLED,230,7.5,0.81,AVERAGE,10_YEARS,80,1,1,#D4B483,////,Traditional TN brick; soak for 24hrs before use. Best for hot humid coastal climate. Rat-trap bond reduces cost 25%.
11,Ennore Fly Ash Brick (Standard),MASONRY,Fly Ash Brick,Non-load-bearing partition and infill wall,per_piece,5,7.5,6.25,"Chennai,Tiruvallur,Chengalpattu,Kanchipuram","Nilgiris,Tirunelveli,Thoothukudi",GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,0,MANUFACTURED,LOW,SEMI_SKILLED,200,9,0.52,GOOD,10_YEARS,75,1,0,#C8C8C8,...,Lighter than red brick. No curing needed. Uniform shape reduces plaster thickness. Good for TN's humid climate.
12,Tuticorin Fly Ash Brick,MASONRY,Fly Ash Brick,Non-load-bearing partition and infill wall,per_piece,5.5,8,6.75,"Thoothukudi,Tirunelveli,Tenkasi,Virudhunagar","Nilgiris,Chennai",GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,0,MANUFACTURED,LOW,SEMI_SKILLED,200,8.5,0.52,GOOD,10_YEARS,75,1,0,#C8C8C8,...,Lighter than red brick. No curing needed. Uniform shape reduces plaster thickness. Good for TN's humid climate.
13,Mettur Fly Ash Brick,MASONRY,Fly Ash Brick,Non-load-bearing partition and infill wall,per_piece,5,7,6,"Salem,Namakkal,Erode,Dharmapuri","Chennai,Nilgiris",GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,0,MANUFACTURED,LOW,SEMI_SKILLED,200,9,0.52,GOOD,10_YEARS,75,1,0,#C8C8C8,...,Lighter than red brick. No curing needed. Uniform shape reduces plaster thickness. Good for TN's humid climate.
14,Neyveli Fly Ash Brick,MASONRY,Fly Ash Brick,Non-load-bearing partition and infill wall,per_piece,4.5,7,5.75,"Cuddalore,Viluppuram,Kallakurichi,Ariyalur","Nilgiris,Kanniyakumari",GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,0,MANUFACTURED,LOW,SEMI_SKILLED,200,8,0.52,GOOD,10_YEARS,75,1,0,#C8C8C8,...,Lighter than red brick. No curing needed. Uniform shape reduces plaster thickness. Good for TN's humid climate.
15,Fly Ash Brick (Interlock Type),MASONRY,Fly Ash Brick,Non-load-bearing partition and infill wall,per_piece,8,12,10,"Chennai,Coimbatore,Madurai,Tiruchirappalli",Nilgiris,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,0,MANUFACTURED,LOW,SEMI_SKILLED,200,10,0.52,GOOD,10_YEARS,75,1,0,#C8C8C8,...,Lighter than red brick. No curing needed. Uniform shape reduces plaster thickness. Good for TN's humid climate.
16,AAC Block 600x200x150mm (4-inch),MASONRY,AAC Block,Infill wall in RCC frame structure,per_piece,42,55,48.5,ALL,"Nilgiris,Ramanathapuram,Kanniyakumari",EXCELLENT,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,0,MANUFACTURED,LOW,SEMI_SKILLED,150,4,0.16,POOR,10_YEARS,60,1,0,#E8E0D0,...,"Excellent thermal insulation for TN heat. Needs waterproof coating in coastal areas. Use AAC adhesive, not cement mortar."
