seq_id,sequence_step,space_name,space_type,is_mandatory,is_optional,min_depth_m,typical_depth_m,width_relationship,visual_termination,privacy_transition,transition_element,facing_n_description,facing_s_description,facing_e_description,facing_w_description,vastu_significance,traditional_tn_element,modern_adaptation,drawing_annotation,bhk_applicability,plot_area_min_sqm
1,1,Main Gate,GATE,1,0,0.3,0.6,SAME_WIDTH,First view of house facade framed between compound wall pillars with house number plate visible,PUBLIC → PUBLIC,Gate pillars with name plate and bell,Gate on north compound wall facing road with tulasi madam visible beside gate pillar on right side,Gate on south compound wall with deep overhang protecting from afternoon sun casting shadow on approach,Gate on east compound wall receiving morning sun with brass bell and kolam at threshold base,Gate on west compound wall with louvered screen above to filter glare from setting sun during evening,Gate position determined by vastu pada — specific grid positions on boundary are auspicious for entry opening,Compound wall gate with stone or concrete pillars brass name plate and traditional brass bell at gate level,Modern gate uses MS frame with laser-cut design panels intercom unit and remote-controlled sliding mechanism,GATE ═══,"1BHK,2BHK,3BHK,4BHK",40
2,1,Main Gate,GATE,1,0,0.3,0.5,SAME_WIDTH,Compact gate view showing house front directly behind with minimal setback from road in narrow urban plot,PUBLIC → PUBLIC,Simple gate with latch and bell,Narrow plot gate on north boundary with house visible just 1.5m behind gate on compact Chennai plot,Narrow south gate with overhead shade protecting visitor from standing in direct noon sun while waiting,Narrow east gate with morning light illuminating house front creating inviting first impression for visitors,Narrow west gate with afternoon shade from adjacent building typical of row house plots in TN cities,Even on narrow plots gate must be on vastu-approved pada — incorrect placement causes dosham per shastra,Simple iron gate with vertical bars and small roof shelter typical of compact urban plots in Tamil Nadu,Modern compact gate with video intercom magnetic lock and powder-coated steel frame in contemporary TN housing,GATE ─,"1BHK,2BHK",30
3,1,Main Gate,GATE,1,0,0.5,0.8,WIDER,Grand double gate view revealing landscaped approach pathway with house facade as visual terminus ahead,PUBLIC → PUBLIC,Double gate pillars with ornamental top and lighting,Wide north gate with ornamental pillars and overhead arch showing garden pathway leading to grand verandah,Double south gate with large canopy structure protecting approach path from harsh south sun exposure,Grand east double gate with morning sun illuminating approach garden creating dramatic arrival experience,Double west gate with mature tree canopy filtering afternoon light creating dappled shadow on approach,Large plot gate uses premium vastu pada with wider opening allowing positive energy flow into generous compound,Grand double-leaf gate with ornamental masonry pillars carved stone lion or elephant motifs on traditional TN homes,Contemporary double gate with automated sliding panels landscaped lighting and CCTV in premium TN housing,══ GATE ══,"3BHK,4BHK",120
4,2,Pathway,PATHWAY,0,1,1.5,3,NARROWER,House main door visible at end of pathway with verandah partially visible creating anticipation of arrival,PUBLIC → PUBLIC,Change from compound paving to pathway material,North pathway straight axis to verandah with garden on both sides and tulasi madam at midpoint on right,South pathway curves slightly to avoid direct sun axis with shade trees planted along western edge,East pathway receives full morning light with stepping stones on lawn leading to verandah threshold,West pathway shaded by pergola structure with creeper plants filtering harsh afternoon sun for visitors,Pathway should not align directly with road — slight offset prevents negative energy entering per vastu,Traditional brick or stone pathway with stepping stones small garden with jasmine and tulasi alongside,Modern pathway uses textured concrete or natural stone pavers with LED path lighting and minimal landscaping,──→ PATH,"2BHK,3BHK,4BHK",80
5,2,Car Porch,CAR_PORCH,0,1,5,6,WIDER,Vehicle shelter with house entrance visible beyond showing clear pedestrian path from car to verandah,PUBLIC → PUBLIC,Transition from vehicular to pedestrian zone marked by bollard or step,North car porch along north boundary with roof sloping south and pedestrian path to verandah on east side,South car porch with high roof to dissipate heat and ventilated sides for air circulation under shelter,East car porch receiving morning sun with roof designed for rain runoff away from pedestrian walkway,West car porch with solid west wall blocking afternoon sun and open east side for natural ventilation,Car porch must not block main door view from gate — vehicle presence should not obstruct entry vastu axis,Traditional car porch with RCC flat roof supported by masonry pillars with decorative bracket details,Modern car porch uses steel frame with polycarbonate sheet roof minimalist pillar design and EV charging point,CAR [___],"2BHK,3BHK,4BHK",100
6,2,Pathway,PATHWAY,1,0,0.5,1,NARROWER,Short pathway on compact plot showing main door directly ahead with just enough space for kolam and shoe rack,PUBLIC → PUBLIC,Single step up from compound level to verandah level,Short north pathway just 1m connecting gate to verandah with kolam space at verandah threshold edge,Short south pathway with small overhang shade for visitor comfort during brief walk from gate to door,Short east pathway bathed in morning light with traditional kolam visible on floor at verandah junction,Short west pathway with side wall providing shade from afternoon sun for the brief approach walk to entry,Even short pathway benefits from correct pada alignment — threshold step should fall on auspicious grid point,Short brick-paved pathway with single step up to verandah level and small kolam space at transition point,Modern short path with anti-skid tiles motion sensor light and concealed shoe storage at verandah edge,─→,"1BHK,2BHK",30
7,3,Verandah,VERANDAH,1,0,1.2,1.5,SAME_WIDTH,Main door framed by verandah columns with seating area visible and doorbell or knocker at eye level,PUBLIC → SEMI_PUBLIC,Threshold step up from pathway level to raised verandah platform with change in floor material,North verandah full road-facing width with thinnai seat on east side and main door centered on south wall,South verandah with 1.8m depth for sun protection thinnai on west side and main door with overhead shade,East verandah bathed in morning light with thinnai on south side and main door receiving auspicious east sun,West verandah with deep overhang thinnai on south side and main door set back from afternoon sun glare,Verandah is the griha-mukha face of the house — its proportions determine the energy entering the home per vastu,Traditional thinnai raised platform verandah with carved wooden columns seating ledge and kolam on floor,Modern verandah with sit-out area decorative column cladding recessed lighting and designer tile flooring,▓▓ VERANDAH ▓▓,"1BHK,2BHK,3BHK,4BHK",30
8,3,Verandah,VERANDAH,1,0,1.5,1.8,SAME_WIDTH,Spacious verandah with traditional thinnai seating main door visible with decorative frame and overhead lamp,PUBLIC → SEMI_PUBLIC,Raised platform with stone or granite step and change from exterior to semi-interior finish,Wide north verandah 1.8m deep with twin thinnai seats flanking main door and hanging brass lamp overhead,Deep south verandah 2.0m providing maximum shade with thinnai bench along full width for family evening sitting,Grand east verandah with morning sun highlighting carved main door frame and traditional kolam at threshold,Protected west verandah with jali screen on west edge filtering sun while maintaining visual connection to garden,Deeper verandah allows vastu-prescribed threshold rituals including kolam decoration and lamp lighting space,Grand thinnai with carved stone bench polished granite floor brass oil lamp bracket and carved wooden ceiling,Contemporary verandah with built-in seating indirect lighting designer flooring and concealed storage beneath seat,▓▓▓ VERANDAH ▓▓▓,"3BHK,4BHK",80
9,3,Thinnai,THINNAI,0,1,0.9,1.2,NARROWER,Traditional raised sitting platform on verandah edge where visitors wait and household head receives guests,PUBLIC → SEMI_PUBLIC,Raised masonry platform 450mm above verandah floor with smoothed edge for sitting comfort,North thinnai on east side of verandah receiving morning sun for pleasant conversation during forenoon hours,South thinnai on east side shaded from afternoon sun providing comfortable seating throughout the day,East thinnai on south side of verandah with back wall support for comfortable extended sitting for visitors,West thinnai on south side protected from setting sun suitable for evening social interaction on verandah,Thinnai is where semi-public interactions occur — visitors who are not invited inside are received here per custom,Traditional thinnai raised masonry platform with polished stone top curved edges and pillar backrest support,Modern thinnai adapted as built-in verandah bench with cushion seating magazine storage and phone charging point,┌─ THINNAI ─┐,"2BHK,3BHK,4BHK",60
10,4,Main Door,MAIN_DOOR,1,0,0.15,0.2,NARROWER,Ornate door surface with handle and lock visible threshold strip on floor marking inside-outside boundary,SEMI_PUBLIC → SEMI_PRIVATE,Threshold strip in brass or granite with 25mm step marking the sacred entry boundary,North house main door on south wall of verandah facing south with overhead brass lamp and door frame carving,South house main door facing north set back from verandah edge with deep overhang shade above door frame,East house main door facing west receiving morning backlight creating silhouette welcome for approaching visitors,West house main door facing east with main door receiving morning light on its decorative carved surface,Main door crossing is the most sacred threshold — door must not have gap at bottom and frame must be complete per vastu,Traditional double-leaf teak door with brass fittings carved panels mango leaf toran and threshold brass strip,Modern main door with engineered wood or veneer finish digital lock decorative handle and peephole camera,╔══ DOOR ══╗,"1BHK,2BHK,3BHK,4BHK",30
