code_id,nbc_section,code_category,room_type,parameter_name,min_value,max_value,unit,occupancy_type,bhk_applicability,condition,enforcement_level,penalty_for_violation,drawing_requirement,compliance_check,common_violation,waiver_possible,tn_local_amendment
1,"Part 3, Cl 3.4.1",ROOM_DIMENSIONS,MASTER_BEDROOM,Minimum floor area,9.5,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Dimension line must show minimum 9.5 sqm for master bedroom with area calculation annotation,room.area >= 9.5,Master bedroom area reduced to 8.5-9.0 sqm to accommodate larger living room,0,DTCP TN mandates 10.0 sqm for plots above 150 sqm
2,"Part 3, Cl 3.4.1",ROOM_DIMENSIONS,MASTER_BEDROOM,Minimum width,2.4,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Width dimension line must annotate minimum 2.4m clear internal width for master bedroom,room.min_width >= 2.4,Narrow master bedroom with width 2.2m due to wall thickness miscalculation,0,
3,"Part 3, Cl 3.4.1",ROOM_DIMENSIONS,MASTER_BEDROOM,Minimum ceiling height,2.75,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Occupancy certificate withheld,Section drawing must show 2.75m clear floor-to-ceiling height for master bedroom,room.ceiling_height >= 2.75,False ceiling reducing effective height below 2.75m not shown in plan,0,
4,"Part 3, Cl 3.4.1",ROOM_DIMENSIONS,MASTER_BEDROOM,Maximum floor area,,25,sqm,RESIDENTIAL_GROUP_A1,"1BHK,2BHK",Applicable for EWS/LIG housing schemes,RECOMMENDED,Warning notice from TNHB,Area annotation must not exceed 25.0 sqm in EWS/LIG category plans,room.area <= 25.0,Oversized master bedroom in EWS housing exceeding carpet area norms,1,TNHB scheme-specific area cap
5,"Part 3, Cl 3.4.1",ROOM_DIMENSIONS,MASTER_BEDROOM,Minimum diagonal dimension,3.3,,m,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Diagonal measurement annotation required on floor plan for master bedroom,room.diagonal >= 3.3,L-shaped master bedroom with effective diagonal below 3.3m,1,
6,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,BEDROOM,Minimum floor area,7.5,,sqm,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Dimension line must show minimum 7.5 sqm for secondary bedroom with area tag,room.area >= 7.5,Second bedroom reduced to 6.8 sqm by encroaching corridor space,0,CMDA requires 8.0 sqm for multi-storey apartments
7,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,BEDROOM,Minimum width,2.1,,m,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Width annotation must show 2.1m clear internal width for secondary bedrooms,room.min_width >= 2.1,Narrow bedroom width of 1.9m caused by oversized adjacent bathroom,0,
8,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,BEDROOM,Minimum ceiling height,2.75,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Occupancy certificate withheld,Section must annotate 2.75m clear height in all bedrooms,room.ceiling_height >= 2.75,Loft construction reducing bedroom ceiling height below minimum,0,
9,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,BEDROOM,Minimum door opening width,0.8,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Door schedule must show 0.8m x 2.0m minimum for bedroom doors,room.door_width >= 0.8,Bedroom door width reduced to 0.75m for space saving,0,
10,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,BEDROOM,Minimum door height,2,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Door schedule must annotate minimum 2.0m height for bedroom doors,room.door_height >= 2.0,Non-standard door height of 1.95m used,0,
