record_id,district,climate_zone,avg_temp_summer_c,avg_temp_winter_c,avg_temp_annual_c,max_temp_c,min_temp_c,annual_rainfall_mm,monsoon_months,relative_humidity_summer_pct,relative_humidity_winter_pct,prevailing_wind_direction,prevailing_wind_speed_kmh,solar_radiation_kwh_m2_day,latitude_degrees,longitude_degrees,ecbc_climate_zone,optimal_plot_facing,window_north_score,window_south_score,window_east_score,window_west_score,recommended_overhang_depth_m,wall_thickness_recommendation_mm,roof_type_recommendation,cross_ventilation_priority,courtyard_benefit,passive_strategy_1,passive_strategy_2,passive_strategy_3,window_to_wall_ratio_recommended,floor_plan_orientation_rule,imd_reference
1,Chennai,Hot_Humid,33.4,25.1,29.6,43.1,17.9,1338,"Jun,Jul,Aug,Sep,Oct,Nov,Dec",72.9,65.7,SW,15.7,5.13,13.0892,80.2541,Warm-Humid,N,0.9,0.76,0.65,0.37,0.87,200,Mangalore tile over ventilated RCC slab,CRITICAL,MEDIUM,Maximize cross-ventilation with large openings on windward walls,Elevated plinth with ventilated crawl space to reduce ground moisture,Reflective cool roof coating with radiant barrier,0.31,Orient long axis E-W; place bedrooms on N side for cool breeze; locate kitchen in SE corner with exhaust vent; living room facing NE for morning light and ventilation,Nungambakkam
2,Chennai,Hot_Humid,33.7,25.3,30,43.5,18.2,1423,"Jun,Jul,Aug,Sep,Oct,Nov,Dec",72.8,64.1,SE,14.3,5.18,13.0956,80.2761,Warm-Humid,NE,0.94,0.71,0.58,0.4,1.02,230,Sloped metal roof with radiant barrier and air gap,CRITICAL,LOW,Double-height living spaces for stack-effect ventilation,Deep verandah on S and W facades for rain and sun protection,Permeable compound wall to allow breeze penetration,0.25,"Orient long axis E-W; bedrooms on N with operable windows; wet areas (kitchen, bath) on S side with stack ventilation; open-plan living area connecting N and S for cross-ventilation",Nungambakkam
3,Chennai,Hot_Humid,33.1,24.9,29.2,42.6,17.6,1467,"Jun,Jul,Aug,Sep,Oct,Nov,Dec",73.5,65.7,E,14.3,5.37,13.0708,80.2581,Warm-Humid,NW,0.88,0.78,0.56,0.34,1.02,250,Filler slab with clay tile overlay,HIGH,MEDIUM,Louvered ventilation panels above windows for continuous airflow,Lightweight insulated roof with ventilated air gap,Landscape buffer with deciduous trees on W side for shade,0.3,E-W elongated plan; master bedroom NE corner for sea breeze; service rooms buffering W wall; staircase on S as thermal buffer; balcony on N for outdoor sleeping,Nungambakkam
4,Chennai,Hot_Humid,33.8,25.4,29.9,43.7,18.3,1419,"Jun,Jul,Aug,Sep,Oct,Nov,Dec",73.9,65,NW,15.1,5.4,13.074,80.2655,Warm-Humid,N-NE,0.95,0.75,0.52,0.37,1.03,200,Pitched concrete roof with reflective cool coating,CRITICAL,LOW,Wind-catcher tower integrated into stairwell for passive ventilation,Extended eaves (900mm+) on all sides for rain protection,Light-colored lime-wash exterior walls to reduce solar heat gain,0.25,Long axis E-W; sleeping zones on N-NE for prevailing wind; kitchen on SE with dedicated exhaust shaft; living spaces open to N courtyard; service core acts as thermal barrier on W,Nungambakkam
5,Chennai,Hot_Humid,33.6,25.3,29.1,43.3,18.1,1363,"Jun,Jul,Aug,Sep,Oct,Nov,Dec",72.3,63,E,15.8,5.01,13.0632,80.2489,Warm-Humid,N-NW,0.88,0.68,0.69,0.37,0.84,230,RCC slab with secondary sloped tile roof and ventilated gap,HIGH,MEDIUM,Jaali screen walls for filtered ventilation and privacy,Green roof with drought-resistant species for insulation,Operable clerestory windows for night-flush ventilation,0.27,Orient E-W; bedrooms clustered on N for maximum ventilation; kitchen isolated on SE corner with high-level exhaust; W-facing wall minimized or buffered by storage and utility rooms,Nungambakkam
6,Coimbatore,Warm_Humid,30.8,23.5,27.2,39.4,15.1,658,"Jun,Jul,Aug,Sep,Oct",61.7,51.9,W,10.8,5.59,11.0309,76.9625,Warm-Humid,N,0.87,0.82,0.59,0.35,0.73,200,Mangalore tile pitched roof with open ridge ventilation,CRITICAL,MEDIUM,Large operable windows on N and S for prevailing breeze capture,Lightweight well-insulated roof to reduce radiant heat gain,Stilted or raised floor construction for under-floor ventilation,0.25,Orient long axis E-W; bedrooms on N facing prevailing wind with full-height windows; kitchen on SE with roof ventilator; living space open-plan on NE; verandah wrapping N and E for shaded outdoor use,Coimbatore Airport
7,Coimbatore,Warm_Humid,31.2,23.9,27.4,40.2,15.7,757,"Jun,Jul,Aug,Sep,Oct",63.4,51.7,NW,10.5,5.47,11.0028,76.9637,Warm-Humid,NE,0.91,0.64,0.65,0.35,0.81,230,Filler slab with double-layered country tile,HIGH,LOW,Wide overhanging eaves (750mm+) for monsoon rain protection and shading,Ventilated ridge roof design for continuous hot-air exhaust,Courtyard with dense canopy trees to create cool micro-climate,0.3,E-W plan; sleeping wing on N with operable walls for monsoon breeze; kitchen on E with high exhaust openings; living on NE; deep covered verandah on S for rain protection; service rooms buffer W,Coimbatore Airport
8,Coimbatore,Warm_Humid,30.8,23.5,27,39.5,15.2,664,"Jun,Jul,Aug,Sep,Oct",62.5,50.2,E,9.2,5.33,11.0364,76.9526,Warm-Humid,NW,0.94,0.6,0.64,0.38,0.95,230,Sloped roof with bamboo-mat ceiling and ventilated attic,HIGH,LOW,Full-length louvered doors for maximum ventilation when open,Double-layered Mangalore tile roof with ventilated gap,Light-toned permeable paving around building to reduce ground reflection,0.31,Long E-W axis; bedrooms on N-NW to catch hill breeze; kitchen on E with chimney vent; central living connects to N garden; covered walkways on S; W facade screened with climber trellis,Coimbatore Airport
9,Coimbatore,Warm_Humid,30.6,23.3,27.4,39.2,15,716,"Jun,Jul,Aug,Sep,Oct",62.8,52.4,N,11.2,5.58,11.0396,76.9653,Warm-Humid,N-NE,0.91,0.68,0.57,0.4,0.87,200,Clay tile roof on timber truss with ceiling insulation,CRITICAL,MEDIUM,High ceiling (3.5m+) with ceiling fans for enhanced air movement,Perforated brick boundary wall for unobstructed breeze flow,Sloped roof with extended gable vents for attic heat exhaust,0.27,"E-W orientation; bedrooms on N with jalousie windows floor to ceiling; open kitchen on SE with ridge vent; living/dining on NE; wrap-around veranda; W wall has minimal openings, screened by trees",Coimbatore Airport
10,Coimbatore,Warm_Humid,31.1,23.7,27.7,39.9,15.5,799,"Jun,Jul,Aug,Sep,Oct",62.5,50.3,NE,10.5,5.44,11.019,76.9643,Warm-Humid,N-NW,0.95,0.79,0.59,0.33,0.72,230,Metal sheet roof with radiant barrier and false ceiling air gap,HIGH,LOW,Veranda-wrapped plan for shaded outdoor circulation and living,Bamboo or thatch secondary roof layer for insulation,Transom windows above all internal doors for whole-house airflow,0.25,Orient E-W; N-facing bedrooms with louvered doors and transom vents; kitchen on SE with stack-effect chimney; open living/dining on N-NE; wide porch on E for morning use; W shaded by dense planting,Coimbatore Airport
