dim_id,passage_type,min_clear_width_m,recommended_width_m,max_width_m,min_height_m,recommended_height_m,door_type,door_swing_clearance_m,bhk_applicability,nbc_reference,applies_to_floors,accessibility_compliant,drawing_symbol,dimension_annotation,common_tn_practice
1,MAIN_ENTRANCE_DOOR,0.9,1.05,1.2,2.1,2.1,SWING_SINGLE,0.9,1BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Single line with swing arc 90° inward,900,Tamil Nadu 1BHK homes use single teak door 0.9m wide with carved frame as standard builder specification
2,MAIN_ENTRANCE_DOOR,1.05,1.2,1.5,2.1,2.1,SWING_DOUBLE,1.2,2BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Double line with twin swing arcs inward,1050-1200,Tamil Nadu 2BHK builders prefer double-leaf teak main door 1.05m to 1.2m with brass fittings and threshold step
3,MAIN_ENTRANCE_DOOR,1.05,1.2,1.5,2.1,2.4,SWING_DOUBLE,1.2,3BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Double line with twin swing arcs inward,1200,Premium 3BHK homes in Chennai use 1.2m double-leaf main door often with ornate panel carvings and tall frame
4,MAIN_ENTRANCE_DOOR,1.2,1.5,1.8,2.1,2.4,SWING_DOUBLE,1.5,4BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Double line with twin swing arcs inward full width,1200-1500,Luxury 4BHK independent houses in Coimbatore and Madurai feature 1.2m to 1.5m main doors with granite threshold
5,BEDROOM_DOOR,0.8,0.9,1,2.1,2.1,SWING_SINGLE,0.9,1BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,0,Single line with swing arc 90° inward,800-900,1BHK bedroom door typically 0.8m flush door in plywood finish to minimize cost in Tamil Nadu budget housing
6,BEDROOM_DOOR,0.9,0.9,1.05,2.1,2.1,SWING_SINGLE,0.9,2BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Single line with swing arc 90° inward,900,Standard 2BHK uses 0.9m bedroom doors in teak or engineered wood as default specification in TN apartment projects
7,BEDROOM_DOOR,0.9,1,1.05,2.1,2.1,SWING_SINGLE,1,3BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Single line with swing arc 90° inward,900-1000,3BHK master bedroom door often 1.0m for premium feel while other bedrooms use 0.9m in Tamil Nadu practice
8,BEDROOM_DOOR,0.9,1.05,1.2,2.1,2.1,SWING_SINGLE,1.05,4BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Single line with swing arc 90° inward wide,900-1050,Premium 4BHK uses 1.05m bedroom doors in solid teak with quality hardware as standard TN luxury specification
9,TOILET_DOOR,0.6,0.75,0.9,2,2.1,SWING_SINGLE,0.75,1BHK,NBC 2016 Part 9 Sec 4,ALL_FLOORS,0,Single line with swing arc 90° outward,600-750,1BHK common toilet uses 0.6m to 0.75m door swinging outward per NBC safety requirement in Tamil Nadu homes
10,TOILET_DOOR,0.7,0.75,0.9,2,2.1,SWING_SINGLE,0.75,2BHK,NBC 2016 Part 9 Sec 4,ALL_FLOORS,0,Single line with swing arc 90° outward,750,Standard 2BHK toilet door 0.75m in waterproof WPC or PVC material common across Tamil Nadu construction
