principle_id,principle_name,category,description,application_condition,plot_area_min_sqm,plot_area_max_sqm,climate_zones,applicable_rooms,wall_thickness_mm,cost_saving_pct,material_saving_pct,thermal_benefit,implementation_detail,nbc_compliant,tncdbr_compliant,tn_districts_applicable,reference_source,drawing_impact
1,Modified Rat-trap Laterite Infill,WALL_CONSTRUCTION,"Vertically oriented brick masonry with laterite stone infill, reducing mortar consumption by 40% while maintaining structural integrity and thermal mass for Tamil Nadu's hot climate.",plot_area >= 500 AND climate_zone = 'tropical_hot' AND floors <= 3 AND soil_type = 'laterite',88,799.8,Hot_Humid,"entrance, kitchen",100,22,6.1,HIGH,Place bricks vertically with 65mm cavity depth. Fill cavity with locally sourced laterite blocks using lime mortar. Maintain 1:1 ratio between brick and laterite for optimal load distribution.,1,0,"Dharmapuri, Dindigul, Pudukkottai, Salem, Nilgiris","Baker 1983, Rural Housing Manual","Shows cavity width in section details, requires horizontal cavity lines in elevation, modifies mortar joint specifications and wall thickness annotations."
2,Rat-trap Bond with Lime Mortar Joints,WALL_CONSTRUCTION,"Traditional rat-trap configuration using lime-sand mortar instead of cement, enabling easier maintenance, better breathability, and reduced carbon footprint for sustainable construction.","plot_area >= 300 AND budget_level <= 'medium' AND climate_zone IN ('tropical_hot', 'humid_coastal') AND floors <= 4",182.7,1325.1,"Warm_Humid, Hot_Dry, Composite","entrance, dining, wash_area, living_room",350,28.3,7.6,MEDIUM,Apply 1:3 lime mortar ratio. Space bricks vertically at 300mm intervals. Use traditional lime kiln-sourced binders. Cure for minimum 28 days before subsequent loading phases.,0,1,ALL,BMTPC Guidelines 2001,"Annotation of mortar type on all sections, special note for curing timeline, differentiates joint thickness from conventional cement, adds lime mortar specification details."
3,Seismic Rat-trap Bond Reinforced,WALL_CONSTRUCTION,"Vertically oriented cavity brickwork with horizontal reinforcement rods inserted in cavity, addressing seismic vulnerability while maintaining rat-trap efficiency and material economy.","plot_area >= 400 AND floors >= 2 AND soil_type IN ('clay', 'laterite') AND climate_zone != 'arid'",142.8,1291.5,Composite,"verandah, corridor, dining",350,5.4,8.6,LOW,Insert 8mm mild steel rods horizontally every 600mm in cavity. Bind rods with 6mm ties at 400mm spacing. Fill cavity with M20 concrete or lime-concrete mix for durability.,1,1,"Coimbatore, Dharmapuri, Villupuram, Dindigul, Tenkasi",Laurie Baker Centre 2010,"Detailed reinforcement sections required, shows rod positioning with elevation markers, includes structural grid overlay, adds rebar schedules and tie details."
4,Rat-trap Bond Terracotta Cavity,WALL_CONSTRUCTION,"Variant using terracotta blocks for cavity infill instead of stone, enhancing thermal performance by 25%, improving air circulation, and supporting local artisan economies in Tamil Nadu.",plot_area >= 450 AND climate_zone = 'tropical_hot' AND floors <= 3 AND budget_level >= 'medium',155.5,1593.4,"Warm_Humid, Hot_Dry","entrance, balcony, verandah, kitchen, courtyard",350,16.4,12.6,LOW,Utilize locally-made terracotta blocks (100x100x50mm). Install with 30mm cavity depth. Bond with lime mortar. Ensure 50mm ventilation gap every 2 meters for convective cooling.,1,1,ALL,"Baker 1970, Building Techniques","Shows terracotta block pattern in elevation, cavity ventilation details require special symbols, includes thermal performance diagrams, notes local sourcing requirements."
5,Rat-trap Bond Compressed Earth,WALL_CONSTRUCTION,"Cavity filled with compressed earth blocks (CEB) using local soil, providing thermal regulation, humidity buffering, and minimal embodied carbon for rural Tamil Nadu housing.",plot_area >= 600 AND soil_type = 'laterite' AND budget_level = 'low' AND climate_zone = 'tropical_hot',120.6,1492.2,"Hot_Humid, Hot_Dry, Composite","verandah, living_room, kitchen",300,19.3,4.9,LOW,Compress earth blocks with lime stabilizer (8% by weight). Stack in cavity with 50mm depth. Maintain 1.2m vertical joints minimum. Apply natural plaster finish over blocks.,1,1,ALL,COSTFORD Field Guide 1994,"Requires soil analysis drawings, CEB specification sheets in details, shows block stacking pattern with offset joints, includes earth test reports and certification."
6,Rat-trap Bond Passive Thermal Mass,WALL_CONSTRUCTION,"Cavity infilled with high-density thermal mass material designed to moderate interior temperatures, reducing cooling load by 30% during peak summer in Tamil Nadu climate.",plot_area >= 500 AND climate_zone = 'tropical_hot' AND floors <= 3 AND budget_level >= 'medium',44.3,,Composite,"prayer_room, staircase",350,3.7,28.8,NONE,Fill cavity with dense clay-sand mix (1:2 ratio) compacted to 1800 kg/m³. Cure for 14 days before loading. Ensure waterproof outer brick skin for monsoon protection.,1,1,ALL,COSTFORD Field Guide 1994,"Thermal mass notes on building sections, includes temperature gradient indicators, shows cavity fill material specifications, adds cooling load calculations in drawing notes."
7,Rat-trap Bond with Ash Mortar,WALL_CONSTRUCTION,"Modified rat-trap utilizing fly ash-based mortar in cavity, improving durability, fire resistance, and utilizing industrial waste in sustainable construction for economic benefit.","plot_area >= 350 AND climate_zone IN ('tropical_hot', 'humid_coastal') AND soil_type != 'sandy' AND floors <= 4",,1815.1,Hot_Humid,"prayer_room, courtyard, wash_area",230,34,38.8,MEDIUM,"Mix fly ash (40%), lime (30%), sand (30%) for cavity mortar. Achieve 35 MPa strength at 28 days. Apply 25mm layers in cavity. Compact each layer thoroughly.",1,1,ALL,CBRI Technical Note 1992,"Specifies fly ash mortar in material schedule, includes source verification requirements, notes fire-rating improvements, adds durability certification details."
8,Rat-trap Bond Smart Cavity Vents,WALL_CONSTRUCTION,"Strategically positioned ventilation openings within rat-trap cavity creating air circulation channels, improving wall breathability and reducing moisture accumulation in humid Tamil Nadu zones.",plot_area >= 400 AND climate_zone = 'humid_coastal' AND floors >= 2 AND soil_type = 'clay',40.8,417,"Composite, Hot_Dry","garage, wash_area, courtyard",200,4.9,23.2,HIGH,Create 50x50mm vent holes every 1.5m in outer brick. Space vertically 1.2m apart. Line cavity with geotextile fabric to prevent debris ingress. Maintain minimum 40mm cavity.,1,1,"Tirunelveli, Villupuram, Krishnagiri",Auroville Earth Institute 2005,"Shows vent locations in elevations with special symbols, includes cross-section details of vent placement, adds moisture control strategy diagrams."
9,Rat-trap Bond Bamboo Reinforcement,WALL_CONSTRUCTION,"Cavity reinforced with bamboo strips instead of steel, utilizing renewable material, providing structural support, reducing cost by 45%, and promoting traditional sustainable building methods.",plot_area >= 450 AND budget_level = 'low' AND floors <= 2 AND climate_zone = 'tropical_hot',164.3,1369.5,"Hot_Humid, Hot_Dry","balcony, bedroom",300,26.2,6.4,HIGH,Install seasoned bamboo strips (20x10mm) horizontally every 600mm. Treat with lime wash for durability. Wrap with coir twine at 300mm spacing. Backfill with lime mortar.,1,1,"Chennai, Dharmapuri, Sivaganga, Tiruvannamalai, Theni, Ramanathapuram, Salem, Thanjavur",HUDCO Technical Bulletin 1995,"Details bamboo strip layout and spacing, includes treatment specifications, shows binding detail patterns, adds material sourcing and sustainability notes."
10,Rat-trap Bond Acoustic Cavity,WALL_CONSTRUCTION,"Cavity filled with natural fiber composite material dampening sound transmission, improving acoustic privacy in dense urban Tamil Nadu residential complexes by 20dB.","plot_area >= 300 AND climate_zone IN ('urban_tropical', 'humid_coastal') AND floors >= 2 AND budget_level >= 'medium'",144.3,1684.2,Hot_Dry,"entrance, balcony, utility, staircase",100,13.7,30.9,MEDIUM,Layer coir fiber boards (40kg/m³) alternating with lime-sand pads in cavity. Create 50mm air gap. Seal joints with lime mortar. Apply plaster finish for durability.,1,1,ALL,"Baker 1986, COSTFORD Manual","Shows acoustic layer configuration in sections, includes sound transmission index ratings, adds noise reduction specifications, notes acoustic testing requirements."
